desshift,id,desvalue,address,hair_color,license_number,desfontcolor,srcregionfontcolor,srcfontsize,desname,srcfontstyle,srcregionfontsize,srcregionbbox,desregionbbox,name,srcvalue,desregionfontcolor,srcfontcolor,srcbbox,desfontsize,desregionvalue,fraudpattern,desbbox,ethnicity,eye_color,desfontstyle,id_stripped,desregionfontsize,is_donor,srcregionfontstyle,is_fraud,weight,expire_date,birthday,desregionfontstyle,height,issue_date,class,srcregionvalue,gender,srcname,srcshift,is_veteran
"[[4, 3], [6, 3]]",generated_fake_2_90,,,,,[],"[47, 40, 52]",,generated.photos_v3_0497908.png,,15.0,"[225, 254, 266, 269]","[426, 79, 534, 100]",,,"[54, 38, 42]",[],[],,05/16/2028,Fraud6_crop_and_replace,[],,,,,21.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,6'-02'',,generated.photos_v3_0728360.png,"[[6, 3], [4, 3]]",
[],generated.photos_v3_0007424_fake_2442,5'-01'',"39 Fillmore Street, Phoenix, AZ 85001",BRO,D40309216,"[0, 0, 0]",[],15.0,,Arial_Bold.ttf,,[],[],Matthew Wade,5'-01'',[],"[47, 40, 52]","[225, 254, 266, 269]",13.0,,Fraud5_inpaint_and_rewrite,"[225, 254, 266, 269]",white,BRO,DejaVuMathTeXGyre.ttf,generated.photos_v3_0007424,,False,,True,152 lb,2029-05-12,1986-04-23,,5'-01'',2024-05-12,C,,M,,[],False
[],generated.photos_v3_0016311_fake_3547,M,"6731 24th Drive, Yuma, AZ 85364",BRO,D00718568,"[0, 0, 0]",[],15.0,,Arial_Bold.ttf,,[],[],Kenneth Mitchell,M,[],"[40, 39, 23]","[169, 254, 182, 269]",11.0,,Fraud5_inpaint_and_rewrite,"[169, 254, 182, 269]",white,BRO,DejaVuSerif-Bold.ttf,generated.photos_v3_0016311,,False,,True,168 lb,2027-03-15,1994-11-06,,7'-07'',2022-03-15,A,,M,,[],False
"[[0, 7], [6, 7]]",generated_fake_2_2,,,,,[],"[55, 33, 28]",,generated.photos_v3_0805623.png,,13.0,"[196, 333, 308, 346]","[183, 155, 267, 171]",,,"[24, 43, 32]",[],[],,BRANDON,Fraud6_crop_and_replace,[],,,,,16.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,0000000000003132,,generated.photos_v3_0905003.png,"[[6, 7], [0, 7]]",
"[[7, 8], [9, 1]]",generated_fake_2_3,,,,,[],"[55, 33, 28]",,generated.photos_v3_0662567_0001952_0953720.png,,13.0,"[196, 333, 308, 346]","[183, 155, 265, 171]",,,"[24, 43, 32]",[],[],,MALCOLM,Fraud6_crop_and_replace,[],,,,,16.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,0000000000001690,,generated.photos_v3_0004219.png,"[[9, 1], [7, 8]]",
[],generated.photos_v3_0010375_fake_5439,BLU,"210 London Bridge Road, Lake Havasu City, AZ 86403",BLN,D90612396,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Lucy Harris,BLU,[],"[46, 46, 56]","[276, 254, 305, 268]",14.0,,Fraud5_inpaint_and_rewrite,"[276, 254, 305, 268]",white,BLU,DejaVuSansCondensed-Bold.ttf,generated.photos_v3_0010375,,False,,True,165 lb,2026-06-04,1977-12-05,,5'-07'',2021-06-04,B,,F,,[],False
"[[8, 2], [3, 0]]",generated_fake_2_91,,,,,[],"[149, 156, 130]",,generated.photos_v3_0998769.png,,14.0,"[498, 324, 554, 338]","[169, 254, 178, 269]",,,"[40, 39, 23]",[],[],,F,Fraud6_crop_and_replace,[],,,,,15.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,06/14/97,,generated.photos_v3_0842570_0105071_0142367.png,"[[3, 0], [8, 2]]",
"[[6, 2], [1, 8]]",generated_fake_2_85,,,,,[],"[53, 42, 51]",,generated.photos_v3_0730242.png,,20.0,"[334, 332, 434, 352]","[221, 284, 261, 298]",,,"[24, 44, 34]",[],[],,NONE,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,07/05/2000,,generated.photos_v3_0141941.png,"[[1, 8], [6, 2]]",
"[[8, 7], [2, 0]]",generated_fake_2_52,,,,,[],"[51, 56, 41]",,generated.photos_v3_0349446.png,,14.0,"[170, 315, 180, 329]","[184, 199, 256, 213]",,,"[47, 38, 42]",[],[],,98 HWY 87,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,B,,generated.photos_v3_0416188.png,"[[2, 0], [8, 7]]",
"[[9, 3], [5, 0]]",generated_fake_2_46,,,,,[],"[40, 39, 23]",,generated.photos_v3_0565316.png,,15.0,"[169, 254, 178, 269]","[332, 254, 373, 269]",,,"[23, 42, 33]",[],[],,215 lb,Fraud6_crop_and_replace,[],,,,,15.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,F,,generated.photos_v3_0199897.png,"[[5, 0], [9, 3]]",
"[[8, 6], [7, 4]]",generated_fake_2_50,,,,,[],"[45, 36, 46]",,generated.photos_v3_0221800.png,,14.0,"[170, 284, 180, 298]","[170, 315, 180, 329]",,,"[51, 56, 41]",[],[],,B,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,A,,generated.photos_v3_0153461.png,"[[7, 4], [8, 6]]",
"[[3, 9], [7, 5]]",generated_fake_2_44,,,,,[],"[31, 27, 34]",,generated.photos_v3_0299844.png,,14.0,"[215, 109, 287, 123]","[426, 79, 534, 100]",,,"[54, 38, 42]",[],[],,01/08/2026,Fraud6_crop_and_replace,[],,,,,21.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,01/17/2024,,generated.photos_v3_0075573_0131493_0131040.png,"[[7, 5], [3, 9]]",
"[[2, 3], [7, 6]]",generated_fake_2_78,,,,,[],"[20, 45, 31]",,generated.photos_v3_0766900.png,,16.0,"[183, 129, 217, 145]","[215, 109, 287, 123]",,,"[31, 27, 34]",[],[],,04/25/2024,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,TAN,,generated.photos_v3_0224725.png,"[[7, 6], [2, 3]]",
"[[0, 9], [4, 5]]",generated_fake_2_93,,,,,[],"[24, 43, 32]",,generated.photos_v3_0379714.png,,16.0,"[183, 155, 273, 171]","[334, 332, 434, 352]",,,"[53, 42, 51]",[],[],,05/22/1987,Fraud6_crop_and_replace,[],,,,,20.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,MONTRELL,,generated.photos_v3_0494563_0073875_0733672.png,"[[4, 5], [0, 9]]",
"[[8, 6], [7, 5]]",generated_fake_2_87,,,,,[],"[24, 44, 34]",,generated.photos_v3_0455697.png,,14.0,"[221, 284, 261, 298]","[196, 333, 308, 346]",,,"[55, 33, 28]",[],[],,0000000000005402,Fraud6_crop_and_replace,[],,,,,13.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,NONE,,generated.photos_v3_0912475.png,"[[7, 5], [8, 6]]",
[],generated.photos_v3_0011812_fake_4698,NONE,"282 Via de Ventura, Scottsdale, AZ 85250",BLN,D67472224,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Alora Carter,NONE,[],"[24, 44, 34]","[221, 284, 261, 298]",12.0,,Fraud5_inpaint_and_rewrite,"[221, 284, 261, 298]",white,GRA,DejaVuSerifCondensed-BoldItalic.ttf,generated.photos_v3_0011812,,False,,True,186 lb,2027-03-01,1984-04-30,,6'-10'',2022-03-01,B,,F,,[],True
[],generated.photos_v3_0003687_fake_1456,NONE,"25 Estrella Parkway, Goodyear, AZ 85395",BRO,D11295262,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Mila Campbell,NONE,[],"[24, 44, 34]","[221, 284, 261, 298]",12.0,,Fraud5_inpaint_and_rewrite,"[221, 284, 261, 298]",white,BRO,DejaVuSans-BoldOblique.ttf,generated.photos_v3_0003687,,False,,True,132 lb,2026-08-10,1986-12-07,,5'-10'',2021-08-10,A,,F,,[],False
[],generated.photos_v3_0005944_fake_2801,B,"6252 Royal Palm Drive, Apache Junction, AZ 85120",BRO,D44776013,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Meera Li,B,[],"[51, 56, 41]","[170, 315, 180, 329]",10.0,,Fraud5_inpaint_and_rewrite,"[170, 315, 180, 329]",asian,BRO,DejaVuSerif-BoldItalic.ttf,generated.photos_v3_0005944,,False,,True,195 lb,2028-04-29,2003-07-31,,5'-01'',2023-04-29,A,,F,,[],False
"[[4, 2], [6, 5]]",generated_fake_2_1,,,,,[],"[40, 39, 23]",,generated.photos_v3_0676531_0924751_0704350.png,,15.0,"[169, 254, 182, 269]","[221, 284, 261, 298]",,,"[24, 44, 34]",[],[],,NONE,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,M,,generated.photos_v3_0164262.png,"[[6, 5], [4, 2]]",
[],generated.photos_v3_0006207_fake_3844,RAUL,"25 Rodeo Road, Casa Grande, AZ 85122",BRO,D78133264,"[0, 0, 0]",[],16.0,,Arial_Bold.ttf,,[],[],Raul Campos,RAUL,[],"[24, 43, 32]","[183, 155, 229, 171]",18.0,,Fraud5_inpaint_and_rewrite,"[183, 155, 229, 171]",latino,BRO,DejaVuSansCondensed-Oblique.ttf,generated.photos_v3_0006207,,True,,True,219 lb,2026-12-13,1991-02-13,,5'-06'',2021-12-13,C,,M,,[],False
[],generated.photos_v3_0004023_fake_4095,24 LITCHFIELD ROAD,"24 Litchfield Road, Surprise, AZ 85374",BRO,D16534331,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Samuel Johnson,24 LITCHFIELD ROAD,[],"[47, 38, 42]","[184, 199, 332, 213]",13.0,,Fraud5_inpaint_and_rewrite,"[184, 199, 332, 213]",white,BRO,DejaVuSerifCondensed-Bold.ttf,generated.photos_v3_0004023,,False,,True,114 lb,2026-04-26,1997-04-09,,7'-02'',2021-04-26,C,,M,,[],False
"[[1, 9], [0, 8]]",generated_fake_2_0,,,,,[],"[36, 36, 36]",,generated.photos_v3_0651904.png,,21.0,"[211, 79, 322, 100]","[184, 199, 338, 213]",,,"[47, 38, 42]",[],[],,6156 WILLOW STREET,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,D12754482,,generated.photos_v3_0273756.png,"[[0, 8], [1, 9]]",
[],generated.photos_v3_0016621_fake_1062,07/14/2003,"575 Rancho Vistoso Boulevard, Oro Valley, AZ 85737",BLK,D92505580,"[0, 0, 0]",[],20.0,,Arial_Bold.ttf,,[],[],Kesha Brown,07/14/2003,[],"[53, 42, 51]","[334, 332, 434, 352]",16.0,,Fraud5_inpaint_and_rewrite,"[334, 332, 434, 352]",black,BRO,DejaVuSans-Oblique.ttf,generated.photos_v3_0016621,,False,,True,128 lb,2025-03-09,2003-07-14,,6'-03'',2020-03-09,A,,F,,[],False
"[[8, 3], [9, 5]]",generated_fake_2_86,,,,,[],"[54, 38, 42]",,generated.photos_v3_0991718.png,,21.0,"[426, 79, 534, 100]","[334, 332, 434, 352]",,,"[53, 42, 51]",[],[],,07/28/1993,Fraud6_crop_and_replace,[],,,,,20.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,06/29/2025,,generated.photos_v3_0784286.png,"[[9, 5], [8, 3]]",
"[[2, 6], [2, 5]]",generated_fake_2_92,,,,,[],"[51, 56, 41]",,generated.photos_v3_0383851.png,,14.0,"[170, 315, 180, 329]","[211, 79, 322, 100]",,,"[36, 36, 36]",[],[],,D75725888,Fraud6_crop_and_replace,[],,,,,21.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,B,,generated.photos_v3_0377145.png,"[[2, 5], [2, 6]]",
"[[7, 9], [1, 0]]",generated_fake_2_79,,,,,[],"[46, 46, 56]",,generated.photos_v3_0714863.png,,14.0,"[276, 254, 307, 268]","[170, 315, 180, 329]",,,"[51, 56, 41]",[],[],,B,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,BRO,,generated.photos_v3_0749197.png,"[[1, 0], [7, 9]]",
"[[9, 4], [4, 1]]",generated_fake_2_45,,,,,[],"[53, 45, 24]",,generated.photos_v3_0764138_0777765_0091489.png,,21.0,"[426, 102, 534, 123]","[276, 254, 307, 268]",,,"[46, 46, 56]",[],[],,BRO,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,06/19/1994,,generated.photos_v3_0941809.png,"[[4, 1], [9, 4]]",
[],generated.photos_v3_0007125_fake_5503,BRO,"399 51st Avenue, Glendale, AZ 85301",BRO,D03875228,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Haruka Choi,BRO,[],"[46, 46, 56]","[276, 254, 307, 268]",17.0,,Fraud5_inpaint_and_rewrite,"[276, 254, 307, 268]",asian,BRO,DejaVuSansMono-Bold.ttf,generated.photos_v3_0007125,,False,,True,152 lb,2027-07-30,1996-12-19,,5'-04'',2022-07-30,A,,F,,[],False
"[[8, 4], [9, 0]]",generated_fake_2_51,,,,,[],"[47, 38, 42]",,generated.photos_v3_0122938.png,,14.0,"[184, 199, 330, 213]","[183, 155, 247, 171]",,,"[24, 43, 32]",[],[],,ARIANA,Fraud6_crop_and_replace,[],,,,,16.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,7245 ADAMS STREET,,generated.photos_v3_0137522_0131305_0088959.png,"[[9, 0], [8, 4]]",
"[[9, 0], [3, 0]]",generated_fake_2_69,,,,,[],"[24, 44, 34]",,generated.photos_v3_0041380.png,,14.0,"[221, 284, 261, 298]","[183, 214, 336, 228]",,,"[29, 38, 25]",[],[],,"SAHUARITA, AZ 85629",Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,NONE,,generated.photos_v3_0224864.png,"[[3, 0], [9, 0]]",
[],generated.photos_v3_0005252_fake_4223,11/04/2001,"4 Hassayampa Village Lane, Prescott, AZ 86301",BRO,D09001951,"[0, 0, 0]",[],21.0,,Arial_Bold.ttf,,[],[],Ravi Xu,11/04/2001,[],"[53, 45, 24]","[426, 102, 534, 123]",16.0,,Fraud5_inpaint_and_rewrite,"[426, 102, 534, 123]",asian,BRO,DejaVuSerif-BoldItalic.ttf,generated.photos_v3_0005252,,False,,True,188 lb,2029-06-04,2001-11-04,,7'-11'',2024-06-04,C,,M,,[],False
"[[1, 9], [5, 9]]",generated_fake_2_55,,,,,[],"[149, 156, 130]",,generated.photos_v3_0249223_0245604_0057474.png,,14.0,"[498, 324, 554, 338]","[184, 199, 355, 213]",,,"[47, 38, 42]",[],[],,8076 BELLA SERA DRIVE,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,09/12/95,,generated.photos_v3_0502395.png,"[[5, 9], [1, 9]]",
[],generated.photos_v3_0002720_fake_1423,24 ACOMA BOULEVARD,"24 Acoma Boulevard, Lake Havasu City, AZ 86403",BRO,D82488478,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Mariam Adams,24 ACOMA BOULEVARD,[],"[47, 38, 42]","[184, 199, 349, 213]",12.0,,Fraud5_inpaint_and_rewrite,"[184, 199, 349, 213]",white,GRA,DejaVuSerif-Italic.ttf,generated.photos_v3_0002720,,False,,True,113 lb,2026-04-03,1988-11-10,,5'-01'',2021-04-03,A,,F,,[],False
"[[2, 4], [3, 2]]",generated_fake_2_41,,,,,[],"[53, 45, 24]",,generated.photos_v3_0129815.png,,21.0,"[426, 102, 534, 123]","[170, 284, 180, 298]",,,"[45, 36, 46]",[],[],,D,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,02/11/2002,,generated.photos_v3_0111277.png,"[[3, 2], [2, 4]]",
"[[3, 7], [5, 8]]",generated_fake_2_96,,,,,[],"[20, 45, 31]",,generated.photos_v3_0478252.png,,16.0,"[183, 129, 230, 145]","[196, 333, 308, 346]",,,"[55, 33, 28]",[],[],,0000000000004867,Fraud6_crop_and_replace,[],,,,,13.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,BOSH,,generated.photos_v3_0803429.png,"[[5, 8], [3, 7]]",
"[[0, 1], [3, 2]]",generated_fake_2_82,,,,,[],"[20, 45, 31]",,generated.photos_v3_0862456.png,,16.0,"[183, 129, 265, 145]","[225, 254, 266, 269]",,,"[47, 40, 52]",[],[],,5'-04'',Fraud6_crop_and_replace,[],,,,,15.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,ISHIKAWA,,generated.photos_v3_0494746.png,"[[3, 2], [0, 1]]",
[],generated.photos_v3_0012412_fake_1596,NONE,"977 Alma School Road, Chandler, AZ 85224",BRO,D90752064,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Hugo Hernandez,NONE,[],"[24, 44, 34]","[221, 284, 261, 298]",12.0,,Fraud5_inpaint_and_rewrite,"[221, 284, 261, 298]",latino,BRO,DejaVuSans-BoldOblique.ttf,generated.photos_v3_0012412,,False,,True,167 lb,2028-01-28,2001-07-23,,5'-03'',2023-01-28,A,,M,,[],False
[],generated.photos_v3_0003687_fake_1321,12/07/1986,"25 Estrella Parkway, Goodyear, AZ 85395",BRO,D11295262,"[0, 0, 0]",[],20.0,,Arial_Bold.ttf,,[],[],Mila Campbell,12/07/1986,[],"[53, 42, 51]","[334, 332, 434, 352]",18.0,,Fraud5_inpaint_and_rewrite,"[334, 332, 434, 352]",white,BRO,DejaVuSansCondensed-Oblique.ttf,generated.photos_v3_0003687,,False,,True,132 lb,2026-08-10,1986-12-07,,5'-10'',2021-08-10,A,,F,,[],False
[],generated.photos_v3_0012412_fake_5055,5'-03'',"977 Alma School Road, Chandler, AZ 85224",BRO,D90752064,"[0, 0, 0]",[],15.0,,Arial_Bold.ttf,,[],[],Hugo Hernandez,5'-03'',[],"[47, 40, 52]","[225, 254, 266, 269]",13.0,,Fraud5_inpaint_and_rewrite,"[225, 254, 266, 269]",latino,BRO,DejaVuSerif.ttf,generated.photos_v3_0012412,,False,,True,167 lb,2028-01-28,2001-07-23,,5'-03'',2023-01-28,A,,M,,[],False
"[[4, 0], [8, 7]]",generated_fake_2_4,,,,,[],"[31, 27, 34]",,generated.photos_v3_0863857.png,,14.0,"[215, 109, 287, 123]","[170, 315, 180, 329]",,,"[51, 56, 41]",[],[],,B,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,04/03/2022,,generated.photos_v3_0903109.png,"[[8, 7], [4, 0]]",
[],generated.photos_v3_0015426_fake_1048,06/21/2020,"5079 Shea Boulevard, Scottsdale, AZ 85250",BRO,D63807835,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Maya Alvarez,06/21/2020,[],"[31, 27, 34]","[215, 109, 287, 123]",11.0,,Fraud5_inpaint_and_rewrite,"[215, 109, 287, 123]",latino,BRO,DejaVuSerifCondensed-BoldItalic.ttf,generated.photos_v3_0015426,,False,,True,193 lb,2025-06-21,1991-11-01,,6'-01'',2020-06-21,C,,F,,[],False
"[[6, 3], [3, 7]]",generated_fake_2_5,,,,,[],"[47, 38, 42]",,generated.photos_v3_0428002.png,,14.0,"[184, 199, 308, 213]","[169, 254, 178, 269]",,,"[40, 39, 23]",[],[],,F,Fraud6_crop_and_replace,[],,,,,15.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,6702 SWAN DRIVE,,generated.photos_v3_0980001.png,"[[3, 7], [6, 3]]",
[],generated.photos_v3_0009638_fake_738,XIA,"227 Miller Road, Scottsdale, AZ 85250",BLK,D38104481,"[0, 0, 0]",[],16.0,,Arial_Bold.ttf,,[],[],Xia Patel,XIA,[],"[24, 43, 32]","[183, 155, 210, 171]",12.0,,Fraud5_inpaint_and_rewrite,"[183, 155, 210, 171]",asian,BRO,DejaVuSerif-BoldItalic.ttf,generated.photos_v3_0009638,,False,,True,151 lb,2028-11-16,1996-12-23,,6'-00'',2023-11-16,A,,F,,[],False
[],generated.photos_v3_0003040_fake_3056,12/30/2021,"143 Mc 85, Buckeye, AZ 85326",BRO,D91405890,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Jacob Russell,12/30/2021,[],"[31, 27, 34]","[215, 109, 287, 123]",10.0,,Fraud5_inpaint_and_rewrite,"[215, 109, 287, 123]",white,BRO,DejaVuSerif-Bold.ttf,generated.photos_v3_0003040,,False,,True,157 lb,2026-12-30,1987-07-21,,5'-00'',2021-12-30,B,,M,,[],False
"[[2, 8], [8, 2]]",generated_fake_2_83,,,,,[],"[47, 38, 42]",,generated.photos_v3_0825142.png,,14.0,"[184, 199, 335, 213]","[169, 254, 182, 269]",,,"[40, 39, 23]",[],[],,M,Fraud6_crop_and_replace,[],,,,,15.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,2384 BASELINE ROAD,,generated.photos_v3_0585996_0619508_0376287.png,"[[8, 2], [2, 8]]",
"[[4, 6], [0, 1]]",generated_fake_2_97,,,,,[],"[36, 36, 36]",,generated.photos_v3_0900770.png,,21.0,"[211, 79, 322, 100]","[183, 155, 260, 171]",,,"[24, 43, 32]",[],[],,VICTORIA,Fraud6_crop_and_replace,[],,,,,16.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,D91782449,,generated.photos_v3_0334972.png,"[[0, 1], [4, 6]]",
[],generated.photos_v3_0003317_fake_1249,"BUCKEYE, AZ 85326","2783 Southern Avenue, Buckeye, AZ 85326",BRO,D75517188,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Sumiko Bui,"BUCKEYE, AZ 85326",[],"[29, 38, 25]","[183, 214, 321, 228]",14.0,,Fraud5_inpaint_and_rewrite,"[183, 214, 321, 228]",asian,BRO,DejaVuSansCondensed-Oblique.ttf,generated.photos_v3_0003317,,False,,True,193 lb,2029-06-23,1996-11-01,,5'-09'',2024-06-23,A,,F,,[],False
"[[2, 4], [6, 8]]",generated_fake_2_40,,,,,[],"[54, 38, 42]",,generated.photos_v3_0069833_0379607_0497716.png,,21.0,"[426, 79, 534, 100]","[169, 254, 182, 269]",,,"[40, 39, 23]",[],[],,M,Fraud6_crop_and_replace,[],,,,,15.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,01/16/2029,,generated.photos_v3_0847207.png,"[[6, 8], [2, 4]]",
"[[9, 8], [3, 6]]",generated_fake_2_54,,,,,[],"[29, 38, 25]",,generated.photos_v3_0015721.png,,14.0,"[183, 214, 292, 228]","[184, 199, 333, 213]",,,"[47, 38, 42]",[],[],,85 UNIVERSITY DRIVE,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,"ELOY, AZ 85131",,generated.photos_v3_0249223_0245604_0708430.png,"[[3, 6], [9, 8]]",
[],generated.photos_v3_0003285_fake_1975,05/02/1999,"45 Sarival Avenue, Goodyear, AZ 85338",BRO,D52764538,"[0, 0, 0]",[],21.0,,Arial_Bold.ttf,,[],[],Madison Jones,05/02/1999,[],"[53, 45, 24]","[426, 102, 534, 123]",18.0,,Fraud5_inpaint_and_rewrite,"[426, 102, 534, 123]",white,BRO,DejaVuSerif.ttf,generated.photos_v3_0003285,,False,,True,196 lb,2028-09-19,1999-05-02,,7'-07'',2023-09-19,D,,F,,[],False
"[[6, 0], [1, 0]]",generated_fake_2_68,,,,,[],"[53, 45, 24]",,generated.photos_v3_0247395.png,,21.0,"[426, 102, 534, 123]","[334, 332, 434, 352]",,,"[53, 42, 51]",[],[],,05/26/2001,Fraud6_crop_and_replace,[],,,,,20.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,12/22/1994,,generated.photos_v3_0128840.png,"[[1, 0], [6, 0]]",
"[[4, 0], [4, 9]]",generated_fake_2_42,,,,,[],"[24, 44, 34]",,generated.photos_v3_0648708_0615513_0113005.png,,14.0,"[221, 284, 261, 298]","[334, 332, 434, 352]",,,"[53, 42, 51]",[],[],,05/09/2001,Fraud6_crop_and_replace,[],,,,,20.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,NONE,,generated.photos_v3_0670748.png,"[[4, 9], [4, 0]]",
"[[0, 4], [4, 5]]",generated_fake_2_56,,,,,[],"[24, 43, 32]",,generated.photos_v3_0423625.png,,16.0,"[183, 155, 269, 171]","[183, 214, 305, 228]",,,"[29, 38, 25]",[],[],,"BISBEE, AZ 85603",Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,SHAUNICE,,generated.photos_v3_0387791_0133164_0226343.png,"[[4, 5], [0, 4]]",
"[[4, 5], [8, 7]]",generated_fake_2_81,,,,,[],"[20, 45, 31]",,generated.photos_v3_0066094.png,,16.0,"[183, 129, 209, 145]","[332, 254, 373, 269]",,,"[23, 42, 33]",[],[],,153 lb,Fraud6_crop_and_replace,[],,,,,15.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,LIU,,generated.photos_v3_0555863.png,"[[8, 7], [4, 5]]",
[],generated.photos_v3_0018393_fake_561,03/28/1999,"5715 Houghton Road, Sahuarita, AZ 85629",BLK,D45261508,"[0, 0, 0]",[],20.0,,Arial_Bold.ttf,,[],[],Suresh Abe,03/28/1999,[],"[53, 42, 51]","[334, 332, 434, 352]",16.0,,Fraud5_inpaint_and_rewrite,"[334, 332, 434, 352]",asian,BRO,DejaVuSerifCondensed-Bold.ttf,generated.photos_v3_0018393,,False,,True,198 lb,2027-08-10,1999-03-28,,5'-07'',2022-08-10,D,,M,,[],False
"[[5, 3], [8, 1]]",generated_fake_2_95,,,,,[],"[54, 38, 42]",,generated.photos_v3_0930887.png,,21.0,"[426, 79, 534, 100]","[196, 333, 308, 346]",,,"[55, 33, 28]",[],[],,0000000000004300,Fraud6_crop_and_replace,[],,,,,13.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,09/01/2028,,generated.photos_v3_0431628.png,"[[8, 1], [5, 3]]",
[],generated.photos_v3_0004164_fake_4694,01/12/1995,"388 Queen Creek Road, Gilbert, AZ 85233",BRO,D81264132,"[0, 0, 0]",[],21.0,,Arial_Bold.ttf,,[],[],Miyu Kang,01/12/1995,[],"[53, 45, 24]","[426, 102, 534, 123]",18.0,,Fraud5_inpaint_and_rewrite,"[426, 102, 534, 123]",asian,BRO,DejaVuSerifCondensed-Bold.ttf,generated.photos_v3_0004164,,False,,True,172 lb,2027-05-13,1995-01-12,,5'-02'',2022-05-13,D,,F,,[],False
"[[7, 2], [2, 5]]",generated_fake_2_7,,,,,[],"[149, 156, 130]",,generated.photos_v3_0338168.png,,14.0,"[498, 324, 554, 338]","[426, 102, 534, 123]",,,"[53, 45, 24]",[],[],,05/31/1996,Fraud6_crop_and_replace,[],,,,,21.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,07/27/02,,generated.photos_v3_0481179.png,"[[2, 5], [7, 2]]",
[],generated.photos_v3_0002720_fake_3380,ADAMS,"24 Acoma Boulevard, Lake Havasu City, AZ 86403",BRO,D82488478,"[0, 0, 0]",[],16.0,,Arial_Bold.ttf,,[],[],Mariam Adams,ADAMS,[],"[20, 45, 31]","[183, 129, 243, 145]",14.0,,Fraud5_inpaint_and_rewrite,"[183, 129, 243, 145]",white,GRA,DejaVuSans-Bold.ttf,generated.photos_v3_0002720,,False,,True,113 lb,2026-04-03,1988-11-10,,5'-01'',2021-04-03,A,,F,,[],False
